"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2018 12:00:00 - 08/01/2018 13:00:00","BZN|FR","Without Sequence","43.42","",""
"08/01/2018 13:00:00 - 08/01/2018 14:00:00","BZN|FR","Without Sequence","43.54","",""
"08/01/2018 14:00:00 - 08/01/2018 15:00:00","BZN|FR","Without Sequence","44.19","",""
"08/01/2018 15:00:00 - 08/01/2018 16:00:00","BZN|FR","Without Sequence","40.97","",""
"08/01/2018 16:00:00 - 08/01/2018 17:00:00","BZN|FR","Without Sequence","47.66","",""
"08/01/2018 17:00:00 - 08/01/2018 18:00:00","BZN|FR","Without Sequence","54.12","",""
"08/01/2018 18:00:00 - 08/01/2018 19:00:00","BZN|FR","Without Sequence","55.00","",""
"08/01/2018 19:00:00 - 08/01/2018 20:00:00","BZN|FR","Without Sequence","52.93","",""
"08/01/2018 20:00:00 - 08/01/2018 21:00:00","BZN|FR","Without Sequence","37.57","",""
"08/01/2018 21:00:00 - 08/01/2018 22:00:00","BZN|FR","Without Sequence","34.12","",""
"08/01/2018 22:00:00 - 08/01/2018 23:00:00","BZN|FR","Without Sequence","31.19","",""
"08/01/2018 23:00:00 - 09/01/2018 00:00:00","BZN|FR","Without Sequence","31.19","",""
"09/01/2018 00:00:00 - 09/01/2018 01:00:00","BZN|FR","Without Sequence","36.01","",""
"09/01/2018 01:00:00 - 09/01/2018 02:00:00","BZN|FR","Without Sequence","36.04","",""
"09/01/2018 02:00:00 - 09/01/2018 03:00:00","BZN|FR","Without Sequence","34.20","",""
"09/01/2018 03:00:00 - 09/01/2018 04:00:00","BZN|FR","Without Sequence","30.71","",""
"09/01/2018 04:00:00 - 09/01/2018 05:00:00","BZN|FR","Without Sequence","27.86","",""
"09/01/2018 05:00:00 - 09/01/2018 06:00:00","BZN|FR","Without Sequence","36.50","",""
"09/01/2018 06:00:00 - 09/01/2018 07:00:00","BZN|FR","Without Sequence","39.03","",""
"09/01/2018 07:00:00 - 09/01/2018 08:00:00","BZN|FR","Without Sequence","55.90","",""
"09/01/2018 08:00:00 - 09/01/2018 09:00:00","BZN|FR","Without Sequence","58.99","",""
"09/01/2018 09:00:00 - 09/01/2018 10:00:00","BZN|FR","Without Sequence","58.90","",""
"09/01/2018 10:00:00 - 09/01/2018 11:00:00","BZN|FR","Without Sequence","60.08","",""
"09/01/2018 11:00:00 - 09/01/2018 12:00:00","BZN|FR","Without Sequence","61.35","",""
"09/01/2018 12:00:00 - 09/01/2018 13:00:00","BZN|FR","Without Sequence","58.02","",""
"09/01/2018 13:00:00 - 09/01/2018 14:00:00","BZN|FR","Without Sequence","55.97","",""
"09/01/2018 14:00:00 - 09/01/2018 15:00:00","BZN|FR","Without Sequence","49.08","",""
"09/01/2018 15:00:00 - 09/01/2018 16:00:00","BZN|FR","Without Sequence","45.02","",""
"09/01/2018 16:00:00 - 09/01/2018 17:00:00","BZN|FR","Without Sequence","47.10","",""
"09/01/2018 17:00:00 - 09/01/2018 18:00:00","BZN|FR","Without Sequence","55.55","",""
"09/01/2018 18:00:00 - 09/01/2018 19:00:00","BZN|FR","Without Sequence","56.74","",""
"09/01/2018 19:00:00 - 09/01/2018 20:00:00","BZN|FR","Without Sequence","54.68","",""
"09/01/2018 20:00:00 - 09/01/2018 21:00:00","BZN|FR","Without Sequence","49.48","",""
"09/01/2018 21:00:00 - 09/01/2018 22:00:00","BZN|FR","Without Sequence","42.91","",""
"09/01/2018 22:00:00 - 09/01/2018 23:00:00","BZN|FR","Without Sequence","39.36","",""
"09/01/2018 23:00:00 - 10/01/2018 00:00:00","BZN|FR","Without Sequence","39.36","",""
"10/01/2018 00:00:00 - 10/01/2018 01:00:00","BZN|FR","Without Sequence","31.26","",""
"10/01/2018 01:00:00 - 10/01/2018 02:00:00","BZN|FR","Without Sequence","28.73","",""
"10/01/2018 02:00:00 - 10/01/2018 03:00:00","BZN|FR","Without Sequence","28.18","",""
"10/01/2018 03:00:00 - 10/01/2018 04:00:00","BZN|FR","Without Sequence","24.73","",""
"10/01/2018 04:00:00 - 10/01/2018 05:00:00","BZN|FR","Without Sequence","19.42","",""
"10/01/2018 05:00:00 - 10/01/2018 06:00:00","BZN|FR","Without Sequence","30.60","",""
"10/01/2018 06:00:00 - 10/01/2018 07:00:00","BZN|FR","Without Sequence","34.87","",""
"10/01/2018 07:00:00 - 10/01/2018 08:00:00","BZN|FR","Without Sequence","45.09","",""
"10/01/2018 08:00:00 - 10/01/2018 09:00:00","BZN|FR","Without Sequence","49.29","",""
"10/01/2018 09:00:00 - 10/01/2018 10:00:00","BZN|FR","Without Sequence","49.14","",""
"10/01/2018 10:00:00 - 10/01/2018 11:00:00","BZN|FR","Without Sequence","48.56","",""
"10/01/2018 11:00:00 - 10/01/2018 12:00:00","BZN|FR","Without Sequence","50.46","",""
"10/01/2018 12:00:00 - 10/01/2018 13:00:00","BZN|FR","Without Sequence","47.81","",""
"10/01/2018 13:00:00 - 10/01/2018 14:00:00","BZN|FR","Without Sequence","45.36","",""
"10/01/2018 14:00:00 - 10/01/2018 15:00:00","BZN|FR","Without Sequence","47.10","",""
"10/01/2018 15:00:00 - 10/01/2018 16:00:00","BZN|FR","Without Sequence","47.98","",""
"10/01/2018 16:00:00 - 10/01/2018 17:00:00","BZN|FR","Without Sequence","48.90","",""
"10/01/2018 17:00:00 - 10/01/2018 18:00:00","BZN|FR","Without Sequence","51.90","",""
"10/01/2018 18:00:00 - 10/01/2018 19:00:00","BZN|FR","Without Sequence","52.69","",""
"10/01/2018 19:00:00 - 10/01/2018 20:00:00","BZN|FR","Without Sequence","49.10","",""
"10/01/2018 20:00:00 - 10/01/2018 21:00:00","BZN|FR","Without Sequence","44.00","",""
"10/01/2018 21:00:00 - 10/01/2018 22:00:00","BZN|FR","Without Sequence","36.99","",""
"10/01/2018 22:00:00 - 10/01/2018 23:00:00","BZN|FR","Without Sequence","38.43","",""
"10/01/2018 23:00:00 - 11/01/2018 00:00:00","BZN|FR","Without Sequence","38.43","",""
"11/01/2018 00:00:00 - 11/01/2018 01:00:00","BZN|FR","Without Sequence","37.33","",""
"11/01/2018 01:00:00 - 11/01/2018 02:00:00","BZN|FR","Without Sequence","36.30","",""
"11/01/2018 02:00:00 - 11/01/2018 03:00:00","BZN|FR","Without Sequence","34.20","",""
"11/01/2018 03:00:00 - 11/01/2018 04:00:00","BZN|FR","Without Sequence","33.00","",""
"11/01/2018 04:00:00 - 11/01/2018 05:00:00","BZN|FR","Without Sequence","33.05","",""
"11/01/2018 05:00:00 - 11/01/2018 06:00:00","BZN|FR","Without Sequence","37.09","",""
"11/01/2018 06:00:00 - 11/01/2018 07:00:00","BZN|FR","Without Sequence","41.50","",""
"11/01/2018 07:00:00 - 11/01/2018 08:00:00","BZN|FR","Without Sequence","53.07","",""
"11/01/2018 08:00:00 - 11/01/2018 09:00:00","BZN|FR","Without Sequence","57.22","",""
"11/01/2018 09:00:00 - 11/01/2018 10:00:00","BZN|FR","Without Sequence","59.02","",""
"11/01/2018 10:00:00 - 11/01/2018 11:00:00","BZN|FR","Without Sequence","57.58","",""
"11/01/2018 11:00:00 - 11/01/2018 12:00:00","BZN|FR","Without Sequence","57.45","",""
"11/01/2018 12:00:00 - 11/01/2018 13:00:00","BZN|FR","Without Sequence","54.61","",""
"11/01/2018 13:00:00 - 11/01/2018 14:00:00","BZN|FR","Without Sequence","54.83","",""
"11/01/2018 14:00:00 - 11/01/2018 15:00:00","BZN|FR","Without Sequence","54.74","",""
"11/01/2018 15:00:00 - 11/01/2018 16:00:00","BZN|FR","Without Sequence","54.01","",""
"11/01/2018 16:00:00 - 11/01/2018 17:00:00","BZN|FR","Without Sequence","54.96","",""
"11/01/2018 17:00:00 - 11/01/2018 18:00:00","BZN|FR","Without Sequence","57.47","",""
"11/01/2018 18:00:00 - 11/01/2018 19:00:00","BZN|FR","Without Sequence","57.66","",""
"11/01/2018 19:00:00 - 11/01/2018 20:00:00","BZN|FR","Without Sequence","54.90","",""
"11/01/2018 20:00:00 - 11/01/2018 21:00:00","BZN|FR","Without Sequence","50.00","",""
"11/01/2018 21:00:00 - 11/01/2018 22:00:00","BZN|FR","Without Sequence","43.13","",""
"11/01/2018 22:00:00 - 11/01/2018 23:00:00","BZN|FR","Without Sequence","42.40","",""
"11/01/2018 23:00:00 - 12/01/2018 00:00:00","BZN|FR","Without Sequence","42.40","",""
"12/01/2018 00:00:00 - 12/01/2018 01:00:00","BZN|FR","Without Sequence","35.64","",""
"12/01/2018 01:00:00 - 12/01/2018 02:00:00","BZN|FR","Without Sequence","34.69","",""
"12/01/2018 02:00:00 - 12/01/2018 03:00:00","BZN|FR","Without Sequence","34.00","",""
"12/01/2018 03:00:00 - 12/01/2018 04:00:00","BZN|FR","Without Sequence","33.08","",""
"12/01/2018 04:00:00 - 12/01/2018 05:00:00","BZN|FR","Without Sequence","33.46","",""
"12/01/2018 05:00:00 - 12/01/2018 06:00:00","BZN|FR","Without Sequence","35.10","",""
"12/01/2018 06:00:00 - 12/01/2018 07:00:00","BZN|FR","Without Sequence","39.93","",""
"12/01/2018 07:00:00 - 12/01/2018 08:00:00","BZN|FR","Without Sequence","48.50","",""
